Timestamp: 20241007_185321
Component disappeared: Mean magnitude: 1.061854600906372
Component detached
Timestamp: 20241007_190255
Mean magnitude: 1.308580756187439, after 0.738626 seconds
Mean magnitude: 2.882460594177246, after 1.008343 seconds
Mean magnitude: 1.1377906799316406, after 1.264822 seconds
Mean magnitude: 0.9686816334724426, after 1.526871 seconds
Mean magnitude: 1.351947546005249, after 1.791271 seconds
Mean magnitude: 1.227706789970398, after 2.050504 seconds
Mean magnitude: 1.1416922807693481, after 2.313047 seconds
Mean magnitude: 1.3665205240249634, after 2.576133 seconds
Mean magnitude: 1.1119613647460938, after 2.86126 seconds
Mean magnitude: 1.3467265367507935, after 3.125248 seconds
Mean magnitude: 1.3758262395858765, after 3.398989 seconds
Mean magnitude: 1.1427721977233887, after 3.659917 seconds
Mean magnitude: 1.531022548675537, after 3.923192 seconds
Mean magnitude: 1.738274097442627, after 4.197239 seconds
Mean magnitude: 1.3839452266693115, after 4.454941 seconds
Mean magnitude: 1.580127239227295, after 4.71637 seconds
Mean magnitude: 1.1416596174240112, after 4.980662 seconds
Mean magnitude: 1.168454885482788, after 5.244616 seconds
Mean magnitude: 1.4869781732559204, after 5.504417 seconds
Mean magnitude: 1.0327050685882568, after 5.799843 seconds
Mean magnitude: 1.5304847955703735, after 6.114328 seconds
Mean magnitude: 1.4461966753005981, after 6.428079 seconds
Mean magnitude: 1.278402328491211, after 6.745185 seconds
Mean magnitude: 1.2599340677261353, after 7.052521 seconds
Mean magnitude: 0.9396255612373352, after 7.338707 seconds
Mean magnitude: 1.2645050287246704, after 7.627416 seconds
Mean magnitude: 1.634433627128601, after 7.898552 seconds
Mean magnitude: 1.190201997756958, after 8.155883 seconds
Mean magnitude: 1.137229323387146, after 8.422487 seconds
Mean magnitude: 1.0471715927124023, after 8.73638 seconds
Mean magnitude: 0.9753904938697815, after 9.00703 seconds
Mean magnitude: 2.1002392768859863, after 9.272037 seconds
Mean magnitude: 1.4869271516799927, after 9.530568 seconds
Mean magnitude: 1.4331932067871094, after 9.796859 seconds
Mean magnitude: 1.0283467769622803, after 10.093603 seconds
Mean magnitude: 3.0980873107910156, after 10.373805 seconds
Component attached gently, after 10.373805 seconds
Mean magnitude: 2.806572675704956, after 10.637916 seconds
Mean magnitude: 0.9714168310165405, after 10.91119 seconds
Mean magnitude: 1.0177719593048096, after 11.199628 seconds
Mean magnitude: 1.6527572870254517, after 11.488824 seconds
Mean magnitude: 1.245114803314209, after 11.778015 seconds
Component disappeared: Mean magnitude: 1.245114803314209
Component detached
Timestamp: 20241007_190322
Mean magnitude: 1.1581836938858032, after 0.746597 seconds
Mean magnitude: 2.0931413173675537, after 1.031838 seconds
Mean magnitude: 1.1815842390060425, after 1.31765 seconds
Mean magnitude: 1.7725040912628174, after 1.601963 seconds
Mean magnitude: 1.2846729755401611, after 1.89987 seconds
Mean magnitude: 1.4012925624847412, after 2.185616 seconds
Mean magnitude: 1.0765351057052612, after 2.436362 seconds
