Timestamp: 20241007_192119
Mean magnitude: 1.0261656045913696, after 2.29337 seconds
Mean magnitude: 1.4494802951812744, after 2.504242 seconds
Mean magnitude: 1.2171039581298828, after 2.714026 seconds
Mean magnitude: 1.0120240449905396, after 2.90891 seconds
Mean magnitude: 1.4331436157226562, after 3.106922 seconds
Mean magnitude: 1.3091812133789062, after 3.302208 seconds
Mean magnitude: 1.1578948497772217, after 3.498844 seconds
Mean magnitude: 1.8628536462783813, after 3.696398 seconds
Mean magnitude: 1.9119210243225098, after 3.891844 seconds
Mean magnitude: 1.6540627479553223, after 4.089637 seconds
Mean magnitude: 1.6584556102752686, after 4.287106 seconds
Mean magnitude: 1.4375965595245361, after 4.498826 seconds
Mean magnitude: 1.6100661754608154, after 4.696781 seconds
Mean magnitude: 1.3500542640686035, after 4.909764 seconds
Mean magnitude: 2.0085866451263428, after 5.119508 seconds
Mean magnitude: 1.3585985898971558, after 5.321403 seconds
Mean magnitude: 1.1290295124053955, after 5.531466 seconds
Mean magnitude: 1.2306863069534302, after 5.742826 seconds
Mean magnitude: 1.4517953395843506, after 5.940558 seconds
Mean magnitude: 1.2222940921783447, after 6.137551 seconds
Mean magnitude: 1.6139498949050903, after 6.347444 seconds
Mean magnitude: 1.8584420680999756, after 6.545289 seconds
Mean magnitude: 1.4911415576934814, after 6.745534 seconds
Mean magnitude: 1.5356149673461914, after 6.953921 seconds
Mean magnitude: 1.4962334632873535, after 7.154973 seconds
Mean magnitude: 1.2204688787460327, after 7.362387 seconds
Mean magnitude: 1.5484833717346191, after 7.563069 seconds
Mean magnitude: 1.2491552829742432, after 7.774197 seconds
Mean magnitude: 1.021408200263977, after 7.973189 seconds
Mean magnitude: 1.1926349401474, after 8.181629 seconds
Mean magnitude: 1.1198136806488037, after 8.382303 seconds
Mean magnitude: 1.007419228553772, after 8.595204 seconds
Mean magnitude: 1.309630036354065, after 8.80781 seconds
Mean magnitude: 1.2057195901870728, after 9.021811 seconds
Mean magnitude: 1.0946569442749023, after 9.232922 seconds
Mean magnitude: 1.4402512311935425, after 9.433834 seconds
Mean magnitude: 1.5522031784057617, after 9.642675 seconds
Mean magnitude: 1.5333908796310425, after 9.855829 seconds
Mean magnitude: 2.3765406608581543, after 10.07349 seconds
Mean magnitude: 6.324948787689209, after 10.281123 seconds
Component attached gently, after 10.281123 seconds
Mean magnitude: 5.960973739624023, after 10.481318 seconds
Component attached gently, after 10.481318 seconds
Mean magnitude: 2.6917498111724854, after 10.689204 seconds
Mean magnitude: 1.4272316694259644, after 10.887077 seconds
Mean magnitude: 1.837519645690918, after 11.082574 seconds
Mean magnitude: 1.4485414028167725, after 11.27982 seconds
Mean magnitude: 1.1046109199523926, after 11.474493 seconds
Mean magnitude: 1.7778335809707642, after 11.671978 seconds
Mean magnitude: 1.6741492748260498, after 11.868917 seconds
Mean magnitude: 1.36051344871521, after 12.0666 seconds
Mean magnitude: 1.5457639694213867, after 12.265325 seconds
Mean magnitude: 1.269946813583374, after 12.478724 seconds
Mean magnitude: 1.2609769105911255, after 12.687546 seconds
Mean magnitude: 1.1637253761291504, after 12.885344 seconds
Mean magnitude: 1.4738370180130005, after 13.082308 seconds
Mean magnitude: 2.6646785736083984, after 13.279078 seconds
Mean magnitude: 1.522274136543274, after 13.490877 seconds
Mean magnitude: 1.743584394454956, after 13.68731 seconds
Mean magnitude: 1.334459900856018, after 13.884591 seconds
Mean magnitude: 1.998400330543518, after 14.080815 seconds
Component disappeared: Mean magnitude: 1.998400330543518
Component detachedTimestamp: 20241007_192716
Mean magnitude: 1.916141152381897, after 0.656328 seconds
Mean magnitude: 2.2412593364715576, after 0.872989 seconds
Mean magnitude: 2.0311238765716553, after 1.077375 seconds
Mean magnitude: 1.579872965812683, after 1.288053 seconds
Mean magnitude: 1.3391413688659668, after 1.487971 seconds
Mean magnitude: 1.6407541036605835, after 1.696926 seconds
Mean magnitude: 1.4557017087936401, after 1.899475 seconds
Mean magnitude: 1.7263749837875366, after 2.112024 seconds
Mean magnitude: 1.3152873516082764, after 2.320065 seconds
Mean magnitude: 1.4507019519805908, after 2.519284 seconds
Mean magnitude: 1.3693493604660034, after 2.728829 seconds
Mean magnitude: 1.2083914279937744, after 2.924766 seconds
Mean magnitude: 1.1853128671646118, after 3.122138 seconds
Mean magnitude: 1.4639486074447632, after 3.316416 seconds
Mean magnitude: 1.2060728073120117, after 3.513792 seconds
Mean magnitude: 2.148341178894043, after 3.713344 seconds
Mean magnitude: 1.5123347043991089, after 3.921033 seconds
Mean magnitude: 2.057574510574341, after 4.119771 seconds
Mean magnitude: 1.4675213098526, after 4.315196 seconds
Mean magnitude: 1.4952155351638794, after 4.512295 seconds
Mean magnitude: 1.721758246421814, after 4.70755 seconds
Mean magnitude: 1.8506451845169067, after 4.90461 seconds
Mean magnitude: 1.425824761390686, after 5.101955 seconds
Mean magnitude: 1.5502362251281738, after 5.30259 seconds
Mean magnitude: 1.657047986984253, after 5.513707 seconds
Mean magnitude: 1.5961748361587524, after 5.71128 seconds
Mean magnitude: 1.7968685626983643, after 5.922448 seconds
Mean magnitude: 1.6979900598526, after 6.120839 seconds
Mean magnitude: 1.8366531133651733, after 6.331915 seconds
Mean magnitude: 1.9945582151412964, after 6.530637 seconds
Mean magnitude: 1.3853647708892822, after 6.742518 seconds
Mean magnitude: 1.5334599018096924, after 6.940055 seconds
Mean magnitude: 1.4701244831085205, after 7.149047 seconds
Mean magnitude: 1.1359668970108032, after 7.348301 seconds
Mean magnitude: 1.42801034450531, after 7.54616 seconds
Mean magnitude: 1.4029431343078613, after 7.756756 seconds
Mean magnitude: 1.686384677886963, after 7.953966 seconds
Mean magnitude: 2.2906301021575928, after 8.150662 seconds
Mean magnitude: 3.2248690128326416, after 8.350661 seconds
Component attached gently, after 8.350661 seconds
Mean magnitude: 2.084014654159546, after 8.557472 seconds
Mean magnitude: 2.4816503524780273, after 8.757094 seconds
Mean magnitude: 1.4094974994659424, after 8.954412 seconds
Mean magnitude: 1.542786955833435, after 9.166104 seconds
Mean magnitude: 1.3077236413955688, after 9.364969 seconds
Mean magnitude: 1.3458833694458008, after 9.575253 seconds
Mean magnitude: 2.1485509872436523, after 9.772469 seconds
Mean magnitude: 2.1216633319854736, after 9.969349 seconds
Mean magnitude: 4.058330059051514, after 10.164396 seconds
Component attached gently, after 10.164396 seconds
Mean magnitude: 5.605752468109131, after 10.361586 seconds
Component attached gently, after 10.361586 seconds
Mean magnitude: 3.4278194904327393, after 10.558559 seconds
Component attached gently, after 10.558559 seconds
Mean magnitude: 1.5818151235580444, after 10.757468 seconds
Mean magnitude: 1.3976831436157227, after 10.96613 seconds
Mean magnitude: 1.4399482011795044, after 11.166465 seconds
Mean magnitude: 1.2849172353744507, after 11.377057 seconds
Mean magnitude: 2.01313853263855, after 11.573303 seconds
Mean magnitude: 2.01662540435791, after 11.771999 seconds
Mean magnitude: 1.4882110357284546, after 11.979733 seconds
Mean magnitude: 1.4134736061096191, after 12.180603 seconds
Mean magnitude: 2.423076629638672, after 12.377813 seconds
Mean magnitude: 1.2500288486480713, after 12.588424 seconds
Mean magnitude: 2.3642215728759766, after 12.786231 seconds
Mean magnitude: 2.459319829940796, after 12.985857 seconds
Mean magnitude: 1.5218583345413208, after 13.194376 seconds
Mean magnitude: 1.4921410083770752, after 13.393508 seconds
Mean magnitude: 1.6325610876083374, after 13.605178 seconds
Mean magnitude: 2.181107521057129, after 13.801048 seconds
Mean magnitude: 1.455784559249878, after 14.000358 seconds
Component disappeared: Mean magnitude: 1.455784559249878
Component detached
Timestamp: 20241007_192837
Mean magnitude: 1.5185221433639526, after 0.640147 seconds
Mean magnitude: 1.9678969383239746, after 0.855296 seconds
Mean magnitude: 2.0233399868011475, after 1.059685 seconds
Mean magnitude: 1.0792756080627441, after 1.27478 seconds
Mean magnitude: 1.3570319414138794, after 1.48752 seconds
Mean magnitude: 2.120288372039795, after 1.696789 seconds
Mean magnitude: 1.3976081609725952, after 1.921555 seconds
Mean magnitude: 1.4955450296401978, after 2.12874 seconds
Mean magnitude: 1.7363871335983276, after 2.339645 seconds
Mean magnitude: 1.4873114824295044, after 2.554176 seconds
Mean magnitude: 0.9455936551094055, after 2.765071 seconds
Mean magnitude: 1.886824131011963, after 2.980039 seconds
Mean magnitude: 1.0386133193969727, after 3.196233 seconds
Mean magnitude: 1.190574288368225, after 3.403158 seconds
Mean magnitude: 1.6706510782241821, after 3.617329 seconds
Mean magnitude: 0.9891171455383301, after 3.830128 seconds
Mean magnitude: 1.4623206853866577, after 4.041845 seconds
Mean magnitude: 1.1558833122253418, after 4.252709 seconds
Mean magnitude: 1.1691594123840332, after 4.449301 seconds
Mean magnitude: 1.3953486680984497, after 4.650414 seconds
Mean magnitude: 1.3583550453186035, after 4.857898 seconds
Mean magnitude: 1.3570857048034668, after 5.058016 seconds
Mean magnitude: 1.2434176206588745, after 5.266545 seconds
Mean magnitude: 1.4565833806991577, after 5.468167 seconds
Mean magnitude: 1.3493731021881104, after 5.676596 seconds
Mean magnitude: 1.7019344568252563, after 5.873449 seconds
Mean magnitude: 0.9309164881706238, after 6.06965 seconds
Mean magnitude: 1.7309342622756958, after 6.268747 seconds
Mean magnitude: 0.9817421436309814, after 6.479056 seconds
Mean magnitude: 1.6089071035385132, after 6.678765 seconds
Mean magnitude: 1.1278495788574219, after 6.888104 seconds
Mean magnitude: 1.3530720472335815, after 7.08665 seconds
Mean magnitude: 1.1148858070373535, after 7.284588 seconds
Mean magnitude: 1.5917493104934692, after 7.495629 seconds
Mean magnitude: 0.9933112859725952, after 7.697774 seconds
Mean magnitude: 2.0640416145324707, after 7.905232 seconds
Mean magnitude: 1.704711675643921, after 8.100103 seconds
Mean magnitude: 0.9947882294654846, after 8.299457 seconds
Mean magnitude: 1.2525690793991089, after 8.509686 seconds
Mean magnitude: 1.6552090644836426, after 8.70741 seconds
Mean magnitude: 1.8359148502349854, after 8.904349 seconds
Mean magnitude: 1.679009199142456, after 9.103634 seconds
Mean magnitude: 1.1337966918945312, after 9.313427 seconds
Mean magnitude: 1.0732225179672241, after 9.511488 seconds
Mean magnitude: 1.3524075746536255, after 9.709149 seconds
Mean magnitude: 1.4484831094741821, after 9.919362 seconds
Mean magnitude: 2.448793411254883, after 10.114976 seconds
Mean magnitude: 2.818352222442627, after 10.320279 seconds
Mean magnitude: 3.1358466148376465, after 10.526979 seconds
Component attached gently, after 10.526979 seconds
Mean magnitude: 1.4911528825759888, after 10.724711 seconds
Mean magnitude: 2.3030946254730225, after 10.933615 seconds
Mean magnitude: 1.4490835666656494, after 11.132917 seconds
Mean magnitude: 1.0851593017578125, after 11.330496 seconds
Mean magnitude: 1.3396681547164917, after 11.54132 seconds
Mean magnitude: 1.4578438997268677, after 11.739866 seconds
Mean magnitude: 1.1655036211013794, after 11.947058 seconds
Mean magnitude: 1.7257452011108398, after 12.144693 seconds
Mean magnitude: 1.4848215579986572, after 12.340141 seconds
Mean magnitude: 1.2344685792922974, after 12.538286 seconds
Mean magnitude: 1.3966137170791626, after 12.736887 seconds
Mean magnitude: 1.570434808731079, after 12.934107 seconds
